Country,Region,Year,Happiness Rank,Happiness Score,Economy GDP per Capita,Family Social Support,Health Life Expectancy,Freedom to Make Choices,Perceptions of Corruption,Generosity,Dystopia Residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020"
Indonesia,Southeast Asia,2017,81,5.262,0.996,1.274,0.492,0.443,0.015,0.612,1.429,273523621,270625568,8.094
Indonesia,Southeast Asia,2018,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484,,273523621,270625568,8.094
Indonesia,Southeast Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,,273523621,270625568,8.094
Indonesia,Southeast Asia,2020,84,5.286,0.892,1.155,0.61,0.568,0.543,0.038,1.48,273523621,270625568,8.094
Indonesia,Southeast Asia,2021,82,5.345,0.954,0.786,0.433,0.598,0.046,0.541,1.987,273523621,270625568,8.094
Indonesia,Southeast Asia,2022,87,5.24,1.382,0.883,0.539,0.62,0.047,0.468,1.3,273523621,270625568,8.094
Iran,Middle East and North Africa,2015,110,4.686,1.009,0.544,0.698,0.3,0.059,0.381,1.694,83992953,82913906,65.747
Iran,Middle East and North Africa,2016,105,4.813,1.118,0.389,0.642,0.225,0.056,0.385,1.998,83992953,82913906,65.747
Iran,Middle East and North Africa,2017,108,4.692,1.157,0.712,0.639,0.249,0.049,0.387,1.499,83992953,82913906,65.747
Iran,Middle East and North Africa,2018,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,,83992953,82913906,65.747
Iran,Middle East and North Africa,2019,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,,83992953,82913906,65.747
Iran,Middle East and North Africa,2020,118,4.672,1.029,0.886,0.749,0.301,0.277,0.143,1.287,83992953,82913906,65.747
Iran,Middle East and North Africa,2021,118,4.721,1.03,0.557,0.561,0.275,0.144,0.33,1.823,83992953,82913906,65.747
Iran,Middle East and North Africa,2022,110,4.888,1.41,0.741,0.642,0.281,0.146,0.241,1.427,83992953,82913906,65.747
Iraq,Middle East and North Africa,2015,112,4.677,0.985,0.819,0.602,0,0.138,0.179,1.953,40222503,39309783,31.855
Iraq,Middle East and North Africa,2016,112,4.575,1.075,0.592,0.511,0.249,0.136,0.196,1.817,40222503,39309783,31.855
Iraq,Middle East and North Africa,2017,117,4.497,1.103,0.979,0.501,0.289,0.107,0.2,1.319,40222503,39309783,31.855
Iraq,Middle East and North Africa,2018,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,,40222503,39309783,31.855
Iraq,Middle East and North Africa,2019,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,,40222503,39309783,31.855
Iraq,Middle East and North Africa,2020,110,4.785,0.982,1.011,0.529,0.284,0.153,0.073,1.752,40222503,39309783,31.855
Iraq,Middle East and North Africa,2021,111,4.854,0.91,0.638,0.381,0.302,0.041,0.153,2.429,40222503,39309783,31.855
Iraq,Middle East and North Africa,2022,107,4.941,1.289,0.682,0.554,0.328,0.046,0.147,1.894,40222503,39309783,31.855
Ireland,Western Europe,2015,18,6.94,1.336,1.369,0.895,0.618,0.287,0.459,1.976,4937796,4941444,45.304
Ireland,Western Europe,2016,19,6.907,1.483,1.162,0.815,0.54,0.298,0.45,2.16,4937796,4941444,45.304
Ireland,Western Europe,2017,15,6.977,1.536,1.558,0.81,0.573,0.298,0.428,1.774,4937796,4941444,45.304
Ireland,Western Europe,2018,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,,4937796,4941444,45.304
Ireland,Western Europe,2019,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,,4937796,4941444,45.304
Ireland,Western Europe,2020,16,7.094,1.447,1.471,0.976,0.588,0.295,0.373,1.944,4937796,4941444,45.304
Ireland,Western Europe,2021,15,7.085,1.644,1.092,0.753,0.606,0.367,0.238,2.384,4937796,4941444,45.304
Ireland,Western Europe,2022,13,7.041,2.129,1.166,0.779,0.627,0.408,0.19,1.743,4937796,4941444,45.304
Israel,Middle East and North Africa,2015,11,7.278,1.229,1.224,0.914,0.413,0.078,0.332,3.89,8655541,9053300,38.415
Israel,Middle East and North Africa,2016,11,7.267,1.338,0.995,0.849,0.364,0.087,0.323,3.31,8655541,9053300,38.415
Israel,Middle East and North Africa,2017,11,7.213,1.375,1.376,0.838,0.406,0.085,0.33,2.82,8655541,9053300,38.415
Israel,Middle East and North Africa,2018,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,,8655541,9053300,38.415
Israel,Middle East and North Africa,2019,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,,8655541,9053300,38.415
Israel,Middle East and North Africa,2020,14,7.129,1.216,1.403,1.008,0.421,0.267,0.1,2.713,8655541,9053300,38.415
Israel,Middle East and North Africa,2021,12,7.157,1.376,1.074,0.788,0.509,0.119,0.208,3.83,8655541,9053300,38.415
Israel,Middle East and North Africa,2022,9,7.364,1.826,1.221,0.818,0.568,0.143,0.155,2.634,8655541,9053300,38.415
Italy,Western Europe,2015,50,5.948,1.251,1.198,0.954,0.262,0.029,0.228,2.25,60461828,60297396,122.654
Italy,Western Europe,2016,50,5.977,1.355,1.042,0.851,0.188,0.026,0.167,2.349,60461828,60297396,122.654
Italy,Western Europe,2017,48,5.964,1.395,1.445,0.853,0.256,0.028,0.173,1.813,60461828,60297396,122.654
Italy,Western Europe,2018,47,6,1.264,1.501,0.946,0.281,0.028,0.137,,60461828,60297396,122.654
Italy,Western Europe,2019,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,,60461828,60297396,122.654
Italy,Western Europe,2020,30,6.387,1.236,1.347,1.023,0.321,0.17,0.04,2.25,60461828,60297396,122.654
Italy,Western Europe,2021,28,6.483,1.393,0.94,0.798,0.379,0.047,0.133,2.794,60461828,60297396,122.654
Italy,Western Europe,2022,31,6.467,1.834,1.052,0.801,0.412,0.059,0.085,2.222,60461828,60297396,122.654
Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.465,0.771,0.152,0.469,0.179,0.202,1.417,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2016,139,3.916,0.555,0.576,0.045,0.407,0.155,0.203,1.975,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2017,128,4.18,0.603,0.905,0.049,0.448,0.13,0.201,1.845,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2018,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146,,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154,,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2020,85,5.233,0.537,0.8,0.155,0.397,0.17,0.093,3.81,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2021,85,5.306,0.669,0.409,0.052,0.438,0.092,0.177,3.469,26378275,25716544,0.519
Ivory Coast,Sub-Saharan Africa,2022,88,5.235,1.094,0.442,0.322,0.451,0.124,0.149,2.652,26378275,25716544,0.519
Jamaica,Latin America and Caribbean,2015,65,5.709,0.81,1.151,0.687,0.504,0.023,0.212,2.32,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2016,73,5.51,0.893,0.964,0.595,0.436,0.043,0.222,2.357,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2017,76,5.311,0.926,1.368,0.641,0.474,0.055,0.234,1.612,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2018,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2019,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2020,60,5.89,0.779,1.408,0.788,0.553,0.116,0.03,2.214,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2021,37,6.309,0.891,0.932,0.599,0.618,0.035,0.099,3.135,2961161,2948279,10.199
Jamaica,Latin America and Caribbean,2022,63,5.85,1.296,1.045,0.646,0.567,0.053,0.08,2.164,2961161,2948279,10.199
Japan,East Asia,2015,46,5.987,1.271,1.257,0.991,0.496,0.181,0.107,1.684,126476458,126264931,2.603
Japan,East Asia,2016,53,5.921,1.38,1.061,0.915,0.468,0.19,0.102,1.86,126476458,126264931,2.603
Japan,East Asia,2017,51,5.92,1.417,1.436,0.913,0.506,0.164,0.121,1.363,126476458,126264931,2.603
Japan,East Asia,2018,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,,126476458,126264931,2.603
Japan,East Asia,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,,126476458,126264931,2.603
Japan,East Asia,2020,62,5.871,1.267,1.332,1.073,0.495,0.036,0.181,1.486,126476458,126264931,2.603
Japan,East Asia,2021,56,5.94,1.389,0.949,0.838,0.504,0.192,0.02,2.48,126476458,126264931,2.603
Japan,East Asia,2022,54,6.039,1.835,1.089,0.866,0.537,0.218,0.007,1.487,126476458,126264931,2.603
Jordan,Middle East and North Africa,2015,82,5.192,0.902,1.054,0.696,0.407,0.143,0.111,1.88,10203140,10101694,37.577
Jordan,Middle East and North Africa,2016,80,5.303,0.997,0.862,0.607,0.36,0.133,0.143,2.21,10203140,10101694,37.577
Jordan,Middle East and North Africa,2017,74,5.336,0.991,1.239,0.605,0.418,0.12,0.172,1.791,10203140,10101694,37.577
Jordan,Middle East and North Africa,2018,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,,10203140,10101694,37.577
Jordan,Middle East and North Africa,2019,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,,10203140,10101694,37.577
Jordan,Middle East and North Africa,2020,119,4.633,0.785,1.14,0.778,0.425,0.091,0.152,1.262,10203140,10101694,37.577
Jordan,Middle East and North Africa,2021,127,4.395,0.89,0.685,0.583,0.455,0.15,0.079,1.553,10203140,10101694,37.577
Jordan,Middle East and North Africa,2022,134,4.152,1.324,0.724,0.675,0.476,0.2,0.058,0.695,10203140,10101694,37.577
Kazakhstan,Commonwealth of Independent States,2015,54,5.855,1.123,1.122,0.644,0.516,0.085,0.118,2.247,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2016,54,5.919,1.229,0.955,0.574,0.405,0.111,0.15,2.493,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2017,60,5.819,1.285,1.384,0.606,0.437,0.119,0.202,1.785,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2018,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2019,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2020,50,6.058,1.123,1.453,0.699,0.497,0.154,0.11,2.22,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2021,45,6.152,1.23,1.103,0.527,0.573,0.132,0.143,2.446,18776707,18513930,14.704
Kazakhstan,Commonwealth of Independent States,2022,40,6.234,1.668,1.22,0.611,0.584,0.157,0.134,1.86,18776707,18513930,14.704
Kenya,Sub-Saharan Africa,2015,125,4.419,0.365,0.999,0.414,0.422,0.058,0.375,1.786,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2016,122,4.356,0.523,0.762,0.301,0.406,0.067,0.413,1.883,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2017,112,4.553,0.56,1.068,0.31,0.453,0.065,0.445,1.652,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2018,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2020,121,4.583,0.476,0.905,0.536,0.519,0.394,0.067,1.685,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2021,121,4.607,0.603,0.508,0.385,0.483,0.073,0.375,2.18,53771300,52573973,3.106
Kenya,Sub-Saharan Africa,2022,119,4.543,1.032,0.605,0.401,0.44,0.082,0.322,1.661,53771300,52573973,3.106
Kosovo,Central and Eastern Europe,2015,69,5.589,0.801,0.812,0.631,0.247,0.047,0.283,2.766,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2016,77,5.401,0.901,0.661,0.54,0.144,0.065,0.28,2.81,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2017,78,5.279,0.951,1.138,0.541,0.26,0.057,0.32,2.11,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2018,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274,,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2019,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2020,35,6.325,0.84,1.184,0.673,0.557,0.325,0.009,2.737,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2021,33,6.372,0.937,0.807,0.483,0.593,0.014,0.356,3.182,1932774,1794248,68.916
Kosovo,Central and Eastern Europe,2022,32,6.455,1.362,0.949,0.569,0.599,0.035,0.309,2.631,1932774,1794248,68.916
Kuwait,Middle East and North Africa,2015,39,6.295,1.554,1.166,0.725,0.555,0.256,0.162,1.876,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2016,41,6.239,1.617,0.878,0.636,0.432,0.237,0.16,2.281,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2017,39,6.105,1.633,1.26,0.632,0.496,0.215,0.228,1.64,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2018,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2019,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2020,48,6.102,1.425,1.245,0.776,0.57,0.133,0.113,1.84,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2021,47,6.106,1.461,0.857,0.58,0.591,0.13,0.12,2.368,4270563,4207083,21.871
Kuwait,Middle East and North Africa,2022,50,6.106,1.904,0.983,0.747,0.617,0.147,0.087,1.621,4270563,4207083,21.871
Kyrgyzstan,Commonwealth of Independent States,2015,77,5.286,0.474,1.151,0.651,0.435,0.042,0.3,2.233,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2016,85,5.185,0.56,0.954,0.554,0.402,0.048,0.384,2.281,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2017,98,5.004,0.596,1.394,0.553,0.455,0.039,0.429,1.537,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2018,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2019,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3,,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2020,74,5.542,0.513,1.341,0.681,0.615,0.301,0.03,2.6,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2021,67,5.744,0.665,0.971,0.501,0.673,0.02,0.266,2.648,6524191,6456900,20.769
Kyrgyzstan,Commonwealth of Independent States,2022,64,5.828,1.069,1.109,0.638,0.693,0.025,0.208,2.87,6524191,6456900,20.769
Laos,Southeast Asia,2015,99,4.876,0.591,0.738,0.549,0.596,0.242,0.422,1.738,7275556,7169455,0
Laos,Southeast Asia,2016,102,4.876,0.68,0.55,0.383,0.522,0.224,0.431,2.86,7275556,7169455,0
Laos,Southeast Asia,2018,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,,7275556,7169455,0
Laos,Southeast Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,,7275556,7169455,0
Laos,Southeast Asia,2020,104,4.889,0.715,0.987,0.486,0.612,0.273,0.194,1.621,7275556,7169455,0
Laos,Southeast Asia,2021,100,5.03,0.808,0.598,0.33,0.643,0.179,0.268,2.24,7275556,7169455,0
Laos,Southeast Asia,2022,95,5.14,1.239,0.654,0.479,0.679,0.184,0.197,1.79,7275556,7169455,0
Latvia,Central and Eastern Europe,2015,89,5.098,1.113,1.096,0.724,0.297,0.063,0.182,1.622,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2016,68,5.56,1.218,0.95,0.64,0.28,0.089,0.174,2.29,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2017,54,5.85,1.261,1.405,0.639,0.326,0.074,0.153,1.994,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2018,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2020,57,5.95,1.141,1.414,0.778,0.329,0.075,0.09,2.121,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2021,51,6.032,1.285,1.047,0.587,0.405,0.089,0.082,2.536,1886202,1912789,33.666
Latvia,Central and Eastern Europe,2022,42,6.18,1.732,1.221,0.637,0.502,0.09,0.075,1.923,1886202,1912789,33.666
Lebanon,Middle East and North Africa,2015,103,4.839,1.026,0.8,0.839,0.339,0.046,0.219,1.571,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2016,93,5.129,1.123,0.642,0.762,0.262,0.031,0.237,2.73,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2017,88,5.225,1.075,1.13,0.735,0.289,0.038,0.264,1.695,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2018,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2019,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2020,111,4.772,0.889,1.192,0.789,0.186,0.159,0.022,1.536,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2021,123,4.584,1.045,0.868,0.595,0.175,0.026,0.14,1.736,6825442,6855713,21.508
Lebanon,Middle East and North Africa,2022,145,2.955,1.392,0.498,0.631,0.103,0.034,0.082,0.216,6825442,6855713,21.508
Lesotho,Sub-Saharan Africa,2015,97,4.898,0.375,1.041,0.076,0.318,0.125,0.164,2.798,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2017,139,3.808,0.521,1.19,0,0.391,0.119,0.157,1.43,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2018,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116,,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2019,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2020,143,3.653,0.455,1.089,0.101,0.409,0.103,0.05,1.446,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2021,145,3.512,0.451,0.731,0.007,0.405,0.015,0.103,1.8,2142252,2125268,2.381
Lesotho,Sub-Saharan Africa,2022,141,3.512,0.839,0.848,0,0.419,0.018,0.076,1.312,2142252,2125268,2.381
Liberia,Sub-Saharan Africa,2015,116,4.571,0.071,0.79,0.342,0.285,0.062,0.244,2.777,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2016,150,3.622,0.107,0.504,0.232,0.257,0.049,0.241,2.233,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2017,148,3.533,0.119,0.872,0.23,0.333,0.039,0.267,1.673,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2018,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2019,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2020,124,4.558,0.174,0.921,0.392,0.406,0.227,0.051,2.387,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2021,120,4.625,0.228,0.58,0.253,0.43,0.057,0.221,2.857,5057677,4937374,1.641
Liberia,Sub-Saharan Africa,2022,97,5.122,0.636,0.67,0.309,0.405,0.08,0.178,2.844,5057677,4937374,1.641
Libya,Middle East and North Africa,2015,63,5.754,1.131,1.119,0.704,0.417,0.11,0.183,2.91,6871287,6777452,21.51
Libya,Middle East and North Africa,2016,67,5.615,1.067,0.951,0.523,0.407,0.103,0.171,2.394,6871287,6777452,21.51
Libya,Middle East and North Africa,2017,68,5.525,1.102,1.358,0.52,0.466,0.093,0.152,1.835,6871287,6777452,21.51
Libya,Middle East and North Africa,2018,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116,,6871287,6777452,21.51
Libya,Middle East and North Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133,,6871287,6777452,21.51
Libya,Middle East and North Africa,2020,80,5.489,1.022,1.196,0.616,0.451,0.143,0.172,1.889,6871287,6777452,21.51
Libya,Middle East and North Africa,2021,80,5.41,1.044,0.821,0.435,0.474,0.174,0.131,2.331,6871287,6777452,21.51
Libya,Middle East and North Africa,2022,86,5.33,1.476,0.943,0.606,0.477,0.179,0.106,1.544,6871287,6777452,21.51
Lithuania,Central and Eastern Europe,2015,56,5.833,1.147,1.257,0.731,0.213,0.01,0.026,2.446,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2016,60,5.813,1.269,1.064,0.647,0.189,0.018,0.02,2.65,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2017,52,5.902,1.315,1.474,0.629,0.234,0.012,0.01,2.228,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2018,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2019,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2020,41,6.215,1.194,1.433,0.795,0.42,0.054,0.081,2.238,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2021,38,6.255,1.35,1.065,0.612,0.476,0.073,0.056,2.624,2722291,2786844,53.558
Lithuania,Central and Eastern Europe,2022,34,6.446,1.804,1.204,0.659,0.496,0.077,0.053,2.153,2722291,2786844,53.558
Luxembourg,Western Europe,2015,17,6.946,1.564,1.22,0.919,0.616,0.378,0.28,1.97,625976,619896,79.076
Luxembourg,Western Europe,2016,20,6.871,1.698,1.04,0.845,0.549,0.353,0.276,2.111,625976,619896,79.076
Luxembourg,Western Europe,2017,18,6.863,1.742,1.458,0.845,0.597,0.319,0.283,1.62,625976,619896,79.076
Luxembourg,Western Europe,2018,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,,625976,619896,79.076
Luxembourg,Western Europe,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,,625976,619896,79.076
Luxembourg,Western Europe,2020,10,7.238,1.537,1.388,0.986,0.61,0.196,0.367,2.154,625976,619896,79.076
Luxembourg,Western Europe,2021,8,7.324,1.751,1.003,0.76,0.639,0.353,0.166,2.653,625976,619896,79.076
Luxembourg,Western Europe,2022,6,7.404,2.209,1.155,0.79,0.7,0.388,0.12,2.42,625976,619896,79.076
Madagascar,Sub-Saharan Africa,2015,147,3.681,0.208,0.668,0.467,0.192,0.081,0.213,1.851,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2016,148,3.695,0.28,0.461,0.371,0.137,0.075,0.22,2.151,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2017,144,3.644,0.306,0.913,0.375,0.189,0.067,0.209,1.585,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2018,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155,,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2019,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2020,137,4.166,0.245,0.824,0.501,0.193,0.191,0.076,2.136,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2021,135,4.208,0.266,0.503,0.341,0.207,0.087,0.185,2.62,27691019,26969307,0.942
Madagascar,Sub-Saharan Africa,2022,128,4.339,0.67,0.645,0.378,0.202,0.154,0.143,2.148,27691019,26969307,0.942
Malawi,Sub-Saharan Africa,2015,131,4.292,0.016,0.411,0.226,0.431,0.07,0.331,2.88,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2016,132,4.156,0.087,0.147,0.294,0.414,0.076,0.31,2.829,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2017,136,3.97,0.233,0.513,0.315,0.467,0.073,0.287,2.82,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2018,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21,,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2019,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2020,145,3.538,0.177,0.53,0.446,0.487,0.213,0.132,1.553,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2021,144,3.6,0.113,0.168,0.298,0.484,0.134,0.213,2.19,19129955,18628747,0.988
Malawi,Sub-Saharan Africa,2022,138,3.75,0.648,0.279,0.388,0.477,0.157,0.14,1.661,19129955,18628747,0.988
Malaysia,Southeast Asia,2015,61,5.77,1.125,1.07,0.724,0.53,0.105,0.331,1.885,32365998,31949777,1.455
Malaysia,Southeast Asia,2016,47,6.005,1.251,0.88,0.624,0.39,0.091,0.415,2.354,32365998,31949777,1.455
Malaysia,Southeast Asia,2017,42,6.084,1.291,1.285,0.619,0.402,0.066,0.417,2.4,32365998,31949777,1.455
Malaysia,Southeast Asia,2018,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,,32365998,31949777,1.455
Malaysia,Southeast Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26,,32365998,31949777,1.455
Malaysia,Southeast Asia,2020,82,5.384,1.168,1.174,0.789,0.597,0.275,0.062,1.319,32365998,31949777,1.455
Malaysia,Southeast Asia,2021,81,5.384,1.259,0.797,0.587,0.624,0.064,0.27,1.784,32365998,31949777,1.455
Malaysia,Southeast Asia,2022,70,5.711,1.689,0.938,0.62,0.654,0.126,0.213,1.471,32365998,31949777,1.455
Maldives,South Asia,2020,87,5.198,0.938,1.402,0.914,0.548,0.224,0.072,1.99,540542,530953,8.88
Maldives,South Asia,2021,89,5.198,1.115,1.015,0.697,0.575,0.073,0.204,1.52,540542,530953,8.88
Mali,Sub-Saharan Africa,2015,138,3.995,0.261,1.035,0.206,0.389,0.124,0.188,1.793,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2016,135,4.073,0.313,0.863,0.163,0.275,0.136,0.211,2.111,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2017,127,4.19,0.476,1.281,0.169,0.307,0.105,0.183,1.668,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2018,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139,,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2020,114,4.729,0.352,0.973,0.235,0.378,0.17,0.062,2.559,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2021,117,4.723,0.387,0.59,0.11,0.384,0.072,0.164,3.16,20250834,19658031,1.328
Mali,Sub-Saharan Africa,2022,123,4.479,0.792,0.483,0.311,0.35,0.042,0.128,2.373,20250834,19658031,1.328
Malta,Western Europe,2015,37,6.302,1.207,1.302,0.887,0.604,0.136,0.518,1.649,441539,502653,49.599
Malta,Western Europe,2016,30,6.488,1.308,1.099,0.803,0.55,0.176,0.562,1.99,441539,502653,49.599
Malta,Western Europe,2017,27,6.527,1.343,1.488,0.822,0.589,0.153,0.575,1.557,441539,502653,49.599
Malta,Western Europe,2018,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,,441539,502653,49.599
Malta,Western Europe,2019,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,,441539,502653,49.599
